Real File Name,Real Skew,Synthetic File Name,Synthetic Skew,SAM File Name,SAM Skew
102574_35.93_-115.26_2019.csv,1.2544458510904448,TestSyn34.csv,1.460323710435391,Wind Speed 2007,0.8841121850405596
102574_35.93_-115.26_2018.csv,1.4362753715020031,TestSyn20.csv,1.4119208088872581,Wind Speed 2008,1.0262453770354274
102574_35.93_-115.26_2008.csv,1.3363976323528655,TestSyn21.csv,1.232960104570818,Wind Speed 2009,0.8849328441337612
102574_35.93_-115.26_2020.csv,1.4360327586368935,TestSyn35.csv,1.326079372115738,Wind Speed 2010,0.9280184113746635
102574_35.93_-115.26_2009.csv,1.2477699594464287,TestSyn23.csv,1.5786605665604314,Wind Speed 2011,0.9060760728916544
102574_35.93_-115.26_1999.csv,1.2747332591099987,TestSyn37.csv,1.2702978143352206,Wind Speed 2012,1.0618298502615442
102574_35.93_-115.26_1998.csv,1.2551179448433771,TestSyn36.csv,1.3184566542120464,Wind Speed 2013,1.09773455430826
102574_35.93_-115.26_2013.csv,1.3277065908274568,TestSyn22.csv,1.2734070364099188,Wind Speed 2014,1.1310961068468155
102574_35.93_-115.26_2007.csv,1.2131438796753347,TestSyn26.csv,1.3296863848994238,,
102574_35.93_-115.26_2006.csv,1.329212570421599,TestSyn32.csv,1.329423735420045,,
102574_35.93_-115.26_2012.csv,1.4310744395507344,TestSyn33.csv,1.396489817207004,,
102574_35.93_-115.26_2004.csv,1.1968002306619319,TestSyn27.csv,1.4686111916268216,,
102574_35.93_-115.26_2010.csv,1.336160293239294,TestSyn31.csv,1.5086579419122002,,
102574_35.93_-115.26_2011.csv,1.3389184411102362,TestSyn25.csv,1.1966016720758537,,
102574_35.93_-115.26_2005.csv,1.270299958462554,TestSyn19.csv,1.4539480104850708,,
102574_35.93_-115.26_2001.csv,1.2640364088287586,TestSyn18.csv,1.4981328443057442,,
102574_35.93_-115.26_2015.csv,1.1875372454715012,TestSyn24.csv,1.3257747877962989,,
102574_35.93_-115.26_2014.csv,1.4573285019561633,TestSyn30.csv,1.3714029553063287,,
102574_35.93_-115.26_2000.csv,1.2540062754236918,TestSyn57.csv,1.4232246838417606,,
102574_35.93_-115.26_2016.csv,1.3751910814105754,TestSyn43.csv,1.391181117797809,,
102574_35.93_-115.26_2002.csv,1.3653200787568787,TestSyn94.csv,1.5935136615408425,,
102574_35.93_-115.26_2003.csv,1.3773726822410202,TestSyn9.csv,1.2757790301263876,,
102574_35.93_-115.26_2017.csv,1.344430252937466,TestSyn80.csv,1.2815456100580729,,
,,TestSyn8.csv,1.3679296001702892,,
,,TestSyn81.csv,1.1419616653085314,,
,,TestSyn95.csv,1.4240476822087367,,
,,TestSyn42.csv,1.2383481256884674,,
,,TestSyn56.csv,1.2996986672836721,,
,,TestSyn68.csv,1.456226336976809,,
,,TestSyn40.csv,1.397756592969896,,
,,TestSyn54.csv,1.3152557152816717,,
,,TestSyn83.csv,1.2777120892609504,,
,,TestSyn97.csv,1.1825908671829797,,
,,TestSyn96.csv,1.3184619504908968,,
,,TestSyn82.csv,1.3015129852732081,,
,,TestSyn55.csv,1.2281460171377179,,
,,TestSyn41.csv,1.4535431628569093,,
,,TestSyn69.csv,1.389732393453786,,
,,TestSyn45.csv,1.4042182080333128,,
,,TestSyn51.csv,1.259382730454667,,
,,TestSyn79.csv,1.5305516692485719,,
,,TestSyn86.csv,1.2681464796256587,,
,,TestSyn92.csv,1.2541663234039426,,
,,TestSyn93.csv,1.3921611264765308,,
,,TestSyn87.csv,1.4208603458827087,,
,,TestSyn78.csv,1.2824115789580743,,
,,TestSyn50.csv,1.3225274428216047,,
,,TestSyn44.csv,1.2463647786757148,,
,,TestSyn52.csv,1.2378773907145022,,
,,TestSyn46.csv,1.2648108800873137,,
,,TestSyn91.csv,1.3821325368736006,,
,,TestSyn85.csv,1.3589379236589971,,
,,TestSyn84.csv,1.3111033716505311,,
,,TestSyn90.csv,1.4056725656035025,,
,,TestSyn47.csv,1.2629432671819374,,
,,TestSyn53.csv,1.333214870576521,,
,,TestSyn76.csv,1.3956206607058073,,
,,TestSyn62.csv,1.2147793698013694,,
,,TestSyn89.csv,1.3240212221897214,,
,,TestSyn88.csv,1.3174385688743206,,
,,TestSyn1.csv,1.4227686627349916,,
,,TestSyn63.csv,1.3694567340559343,,
,,TestSyn77.csv,1.2533130432634225,,
,,TestSyn49.csv,1.2818132200223606,,
,,TestSyn61.csv,1.337490371286538,,
,,TestSyn75.csv,1.4562176466125034,,
,,TestSyn3.csv,1.3475920919225088,,
,,TestSyn2.csv,1.4474278011046928,,
,,TestSyn74.csv,1.324812290993012,,
,,TestSyn60.csv,1.3197631026139616,,
,,TestSyn48.csv,1.303306120592549,,
,,TestSyn64.csv,1.3881867393309884,,
,,TestSyn70.csv,1.314127107555618,,
,,TestSyn58.csv,1.1999621067620818,,
,,TestSyn6.csv,1.4760700869661298,,
,,TestSyn7.csv,1.5800739765112566,,
,,TestSyn59.csv,1.4842800592542449,,
,,TestSyn71.csv,1.3164300397890472,,
,,TestSyn65.csv,1.3165104452572927,,
,,TestSyn73.csv,1.3787729225118883,,
,,TestSyn67.csv,1.4357911486999981,,
,,TestSyn5.csv,1.2652834021311212,,
,,TestSyn98.csv,1.3766523816235314,,
,,TestSyn99.csv,1.2794426190447485,,
,,TestSyn4.csv,1.2905348754080945,,
,,TestSyn66.csv,1.3237363488009188,,
,,TestSyn72.csv,1.3403160324761414,,
,,TestSyn29.csv,1.1977704751589944,,
,,TestSyn15.csv,1.4373060910800657,,
